blockchain,num_swaps,period,unique_swap_addresses,volume
optimism,28880,2025-05-14 00:00:00.000 UTC,3066,1725453.9875675403
base,30292,2025-02-17 00:00:00.000 UTC,5795,2723214.8116655583
ethereum,10376,2025-03-31 00:00:00.000 UTC,3788,51819431.104282424
bnb,14166,2025-04-01 00:00:00.000 UTC,6132,1038800.5620856548
optimism,24076,2025-06-02 00:00:00.000 UTC,2426,790041.5457943896
unichain,14758,2025-04-06 00:00:00.000 UTC,3895,129336.50422470248
ethereum,14848,2025-04-21 00:00:00.000 UTC,4697,125330041.44425133
optimism,10747,2025-04-15 00:00:00.000 UTC,3760,489314.8192682079
polygon,30844,2025-03-03 00:00:00.000 UTC,3241,1985823.293687364
worldchain,44763,2025-05-09 00:00:00.000 UTC,180,7300.958066211995
base,361,2025-01-29 00:00:00.000 UTC,22,15953.583038896062
unichain,1,2025-01-24 00:00:00.000 UTC,1,0.33648136580326354
base,75578,2025-04-17 00:00:00.000 UTC,11786,8630611.886719355
base,68790,2025-03-21 00:00:00.000 UTC,12548,8433852.843558054
optimism,12930,2025-04-28 00:00:00.000 UTC,1709,217735.35099226746
optimism,9033,2025-04-01 00:00:00.000 UTC,1275,154854.61639445304
ethereum,13977,2025-05-12 00:00:00.000 UTC,5082,248266079.78136256
optimism,6838,2025-02-09 00:00:00.000 UTC,733,142038.11455402948
avalanche_c,3184,2025-05-10 00:00:00.000 UTC,657,79924.55354118685
optimism,10035,2025-03-27 00:00:00.000 UTC,1402,121617.70868635706
bnb,17511,2025-04-07 00:00:00.000 UTC,1511,766352.8301977383
arbitrum,35383,2025-06-01 00:00:00.000 UTC,4069,20521665.553239815
worldchain,49879,2025-05-25 00:00:00.000 UTC,164,13250.659103555648
blast,7,2025-02-23 00:00:00.000 UTC,7,0.5596459408705107
blast,33,2025-05-28 00:00:00.000 UTC,16,2.195790990567241
unichain,31109,2025-04-17 00:00:00.000 UTC,5531,175978707.97673342
optimism,11006,2025-02-28 00:00:00.000 UTC,1151,239291.81935513794
unichain,8036,2025-03-29 00:00:00.000 UTC,2714,79388.02536472691
unichain,91095,2025-04-30 00:00:00.000 UTC,6142,324795230.88756526
base,112249,2025-05-22 00:00:00.000 UTC,14494,20272903.24660135
avalanche_c,3296,2025-05-31 00:00:00.000 UTC,753,70621.07973742676
blast,26,2025-03-22 00:00:00.000 UTC,12,3.832947328362731
blast,30,2025-05-07 00:00:00.000 UTC,17,2.361723512983247
zora,39,2025-03-04 00:00:00.000 UTC,2,318.40067081960115
base,83698,2025-05-06 00:00:00.000 UTC,12750,21887811.084610622
polygon,15529,2025-03-22 00:00:00.000 UTC,3074,403665.8717437602
unichain,9558,2025-02-25 00:00:00.000 UTC,4071,1103568.4551970842
bnb,2187,2025-02-01 00:00:00.000 UTC,439,101045.85659219683
blast,10,2025-02-18 00:00:00.000 UTC,5,1.4879543798262767
zora,223,2025-04-13 00:00:00.000 UTC,25,789.903135910236
zora,76,2025-03-17 00:00:00.000 UTC,2,212.56738598738355
worldchain,71,2025-02-07 00:00:00.000 UTC,1,10.934969688738178
bnb,33119,2025-05-09 00:00:00.000 UTC,4246,3806608.7556255674
arbitrum,66248,2025-05-11 00:00:00.000 UTC,4145,61390521.65458365
