Timestamp,Date,Measure,bIB01,BENJI,WTSYX,FLTTX,WTSTX,WTLGX,WTTSX,TIPSX,WTGXX,BUIDL,XTBT,XEVT,bCSPX,SKHC,PARAVII,NOTE,XRV,ACRED,EQTYX,MODRX,LNGVX,WTSIX,SPXUX,TECHX,RE,VBILL,XFTB
1681603200000,2023-04-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681689600000,2023-04-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681776000000,2023-04-18,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681862400000,2023-04-19,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681948800000,2023-04-20,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682035200000,2023-04-21,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682121600000,2023-04-22,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682208000000,2023-04-23,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682294400000,2023-04-24,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682380800000,2023-04-25,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682467200000,2023-04-26,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682553600000,2023-04-27,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682640000000,2023-04-28,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682726400000,2023-04-29,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682812800000,2023-04-30,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682899200000,2023-05-01,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1682985600000,2023-05-02,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1683072000000,2023-05-03,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1683158400000,2023-05-04,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1683244800000,2023-05-05,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683331200000,2023-05-06,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683417600000,2023-05-07,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683504000000,2023-05-08,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683590400000,2023-05-09,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683676800000,2023-05-10,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683763200000,2023-05-11,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683849600000,2023-05-12,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1683936000000,2023-05-13,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1684022400000,2023-05-14,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1684108800000,2023-05-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1684195200000,2023-05-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1684281600000,2023-05-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1684368000000,2023-05-18,Bridged Token Value (Dollar),,,,,,,,,,,,,,415000.00,,,,,,,,,,,,,
1684454400000,2023-05-19,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1684540800000,2023-05-20,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
1684627200000,2023-05-21,Bridged Token Value (Dollar),,,,,,,,,,,,,,435000.00,,,,,,,,,,,,,
